subtitle,title,title_url,lead
"
                                                                        ",,https://www.eghtesadnews.com,
"
                    رکوردداران خروج پول حقیقی؛                ","
                            ۲۰ روز فرار سرمایه از بورس +نمودار                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-38/470270-%D8%B1%D9%88%D8%B2-%D9%81%D8%B1%D8%A7%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%D8%A7%D8%B2-%D8%A8%D9%88%D8%B1%D8%B3-%D9%86%D9%85%D9%88%D8%AF%D8%A7%D8%B1,"
                        اقتصادنیوز: در ۲۰ روز کاری پیاپی در ۴ هفته اخیر خالص ارزش تغییر مالکیت حقوقی به حقیقی بورس تهران منفی بود. در مجموع ۶…                    "
"
                     چه کسانی ناظران شرعی را احراز صلاحیت می کنند؟                ","
                            خبر مهم صالح آبادی درباره ناظر شرعی برای بانک ها                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470445-%D8%AE%D8%A8%D8%B1-%D9%85%D9%87%D9%85-%D8%B5%D8%A7%D9%84%D8%AD-%D8%A2%D8%A8%D8%A7%D8%AF%DB%8C-%D8%AF%D8%B1%D8%A8%D8%A7%D8%B1%D9%87-%D9%86%D8%A7%D8%B8%D8%B1-%D8%B4%D8%B1%D8%B9%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A8%D8%A7%D9%86%DA%A9-%D9%87%D8%A7,"
                        صالح آبادی گفت: چارچوب اضافه شدن افرادی به عنوان ناظر شرعی در کمیته تطبیق بانک‌ها به منظور اجرا و نظارت بر مصوبات…                    "
"
                    کیفیت خودروها قربانی تصمیمات اشتباه دولت ها؛                ","
                             خودروسازان زیر تیغ /ایران خودرو و سایپا تهدید شدند                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470439-%D8%AE%D9%88%D8%AF%D8%B1%D9%88%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%B2%DB%8C%D8%B1-%D8%AA%DB%8C%D8%BA-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%AE%D9%88%D8%AF%D8%B1%D9%88-%D8%B3%D8%A7%DB%8C%D9%BE%D8%A7-%D8%AA%D9%87%D8%AF%DB%8C%D8%AF-%D8%B4%D8%AF%D9%86%D8%AF,"
                        هنوز تبعات خودروهای ناقص دامن خودروسازان را رها نکرده که حادثه بهبهان اتفاق افتاد تا خودروسازی کشور بیش از پیش زیر ذره…                    "
"
                    سیگنال جو بایدن به قیمت دلار  ایران                ","
                            افزایش قیمت سکه و طلا  در روز نزولی قیمت دلار!                         ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470413-%D8%A7%D9%81%D8%B2%D8%A7%DB%8C%D8%B4-%D9%82%DB%8C%D9%85%D8%AA-%D8%B3%DA%A9%D9%87-%D8%B7%D9%84%D8%A7-%D8%AF%D8%B1-%D8%B1%D9%88%D8%B2-%D9%86%D8%B2%D9%88%D9%84%DB%8C-%D9%82%DB%8C%D9%85%D8%AA-%D8%AF%D9%84%D8%A7%D8%B1,"
                        اقتصادنیوز : بازار ارز و طلا امروز شاهد افزایش قیمت طلا و قیمت سکه در مقابل کاهش قیمت دلار بود.                     "
"
                    بلندپروازی های یک رئیس جمهور                ","
                            سفر رئیسی به روسیه؛ فراتر از یک اقدام تشریفاتی                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-57/470355-%D8%B3%D9%81%D8%B1-%D8%B1%D8%A6%DB%8C%D8%B3%DB%8C-%D8%A8%D9%87-%D8%B1%D9%88%D8%B3%DB%8C%D9%87-%D9%81%D8%B1%D8%A7%D8%AA%D8%B1-%D8%A7%D8%B2-%DB%8C%DA%A9-%D8%A7%D9%82%D8%AF%D8%A7%D9%85-%D8%AA%D8%B4%D8%B1%DB%8C%D9%81%D8%A7%D8%AA%DB%8C,"
                        تهران به دنبال روابط اقتصادی و امنیتی و راهی برای دور زدن تحریم های آمریکا است. نیاز مسکو به متحدان منطقه ای بر سر…                    "
,"
                            بازدهی شاخص های بورس منفی ماند                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A8%D9%88%D8%B1%D8%B3-38/470247-%D8%A8%D8%A7%D8%B2%D8%AF%D9%87%DB%8C-%D8%B4%D8%A7%D8%AE%D8%B5-%D9%87%D8%A7%DB%8C-%D8%A8%D9%88%D8%B1%D8%B3-%D9%85%D9%86%D9%81%DB%8C-%D9%85%D8%A7%D9%86%D8%AF,
,"
                            پیام جدید برجام به قیمت دلار                         ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470368-%D9%BE%DB%8C%D8%A7%D9%85-%D8%AC%D8%AF%DB%8C%D8%AF-%D8%A8%D8%B1%D8%AC%D8%A7%D9%85-%D8%A8%D9%87-%D9%82%DB%8C%D9%85%D8%AA-%D8%AF%D9%84%D8%A7%D8%B1,
,"
                            جهش شبانه قیمت سکه /پیش بینی بازار سکه امروز                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C-67/470363-%D8%AC%D9%87%D8%B4-%D8%B4%D8%A8%D8%A7%D9%86%D9%87-%D9%82%DB%8C%D9%85%D8%AA-%D8%B3%DA%A9%D9%87-%D9%BE%DB%8C%D8%B4-%D8%A8%DB%8C%D9%86%DB%8C-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%B3%DA%A9%D9%87-%D8%A7%D9%85%D8%B1%D9%88%D8%B2,
,"
                            قیمت دلار بعد از توافق وین /بازار مسکن تکان خورد؟                        ",https://www.eghtesadnews.com/بخش-%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%B3%DA%A9%D9%86-%D8%B4%D9%87%D8%B1%DB%8C-19/470329-%D9%82%DB%8C%D9%85%D8%AA-%D8%AF%D9%84%D8%A7%D8%B1-%D8%A8%D8%B9%D8%AF-%D8%A7%D8%B2-%D8%AA%D9%88%D8%A7%D9%81%D9%82-%D9%88%DB%8C%D9%86-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%DA%A9%D8%A7%D9%86-%D8%AE%D9%88%D8%B1%D8%AF,
,"
                            حضور سهامداران خارجی در ۱۰ شرکت بورس تهران                        ",https://www.eghtesadnews.com/بخش-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%B2%D9%85%D8%A7%D9%86-111/470318-%D8%AD%D8%B6%D9%88%D8%B1-%D8%B3%D9%87%D8%A7%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D9%86-%D8%AE%D8%A7%D8%B1%D8%AC%DB%8C-%D8%AF%D8%B1-%D8%B4%D8%B1%DA%A9%D8%AA-%D8%A8%D9%88%D8%B1%D8%B3-%D8%AA%D9%87%D8%B1%D8%A7%D9%86,
